"id","policyNumber","name","dob","dop","gender","smokingStatus","faceAmount"
335,335,"Linus Bramhill     ","2000-10-01","2016-08-01","male","Smoker",35000
336,336,"Nita Goggan        ","1978-11-23","2016-04-01","male","Non-Smoker",70000
337,337,"Dodi Towle","1987-08-21","2008-06-01","male","Non-Smoker",80000
338,338,"Kayla Snooks       ","1998-05-09","2015-05-01","female","Non-Smoker",100000
339,339,"Tracee Camosso     ","1953-08-20","2005-08-01","male","Non-Smoker",15000
340,340,"Drucill Javes      ","1968-06-24","2005-08-01","male","Smoker",375000
341,341,"Kelby Sterndale    ","1974-04-11","2012-10-01","female","Smoker",85000
342,342,"Susy Maunder       ","1975-04-05","1996-02-01","female","Non-Smoker",370000
343,343,"Matthiew Schoolcroft    ","2000-09-21","2016-01-01","female","Smoker",300000
344,344,"Prudence Lude      ","1969-02-13","1995-03-01","female","Non-Smoker",85000
345,345,"Shelli Bramsom     ","1995-11-08","2012-10-01","female","Non-Smoker",365000
346,346,"Britni Crathern    ","1976-05-14","1993-03-01","male","Non-Smoker",95000
347,347,"Johan Monsey       ","1980-07-18","2006-04-01","female","Non-Smoker",455000
348,348,"Terence Pendergrast","1991-01-17","2010-06-01","male","Non-Smoker",90000
349,349,"Lanni Boast        ","1982-03-08","2014-10-01","male","Non-Smoker",50000
350,350,"Jobyna Standell    ","1983-04-09","2012-07-01","female","Smoker",245000
351,351,"Loutitia Sudell    ","1983-06-25","2003-08-01","male","Smoker",15000
352,352,"Dean Kellough      ","1989-07-03","2015-12-01","male","Non-Smoker",140000
353,353,"Patience Larner    ","1957-05-05","1995-08-01","female","Non-Smoker",425000
354,354,"Nadean Northing    ","1990-03-08","2008-03-01","female","Non-Smoker",260000
355,355,"Darren Espinoza    ","1970-10-25","2003-10-01","male","Smoker",470000
356,356,"Sandor Burchill    ","1968-04-09","1989-05-01","female","Non-Smoker",455000
357,357,"Leda Mesnard       ","1985-09-13","2012-11-01","female","Smoker",310000
358,358,"Hoyt Ruperti       ","1975-09-03","1996-01-01","male","Smoker",135000
359,359,"Lena Osmond        ","1978-07-10","2009-08-01","male","Smoker",455000
360,360,"Irv Webber","1999-02-06","2016-04-01","female","Smoker",70000
361,361,"Elise Kearsley     ","1970-09-08","2008-07-01","female","Non-Smoker",215000
362,362,"Gallard Klaessen   ","1958-06-21","1985-10-01","female","Smoker",355000
363,363,"Brandy Grimbleby   ","1969-04-17","1996-10-01","female","Smoker",290000
364,364,"Shanda Gratrix     ","1991-06-03","2016-08-01","female","Smoker",205000
365,365,"Jillane Buggs      ","1958-07-14","1995-10-01","female","Non-Smoker",415000
366,366,"Pincus Ridges      ","1984-07-25","2000-05-01","male","Non-Smoker",45000
367,367,"Tades Lenham       ","1992-06-09","2016-04-01","female","Non-Smoker",45000
368,368,"Merrily Janeczek   ","1951-05-26","1997-04-01","male","Smoker",80000
369,369,"Brittan MacKeeg    ","1990-07-08","2014-07-01","male","Non-Smoker",180000
370,370,"Ewart Brogiotti    ","1971-04-14","1996-04-01","male","Non-Smoker",255000
371,371,"Jourdan Carnilian  ","1973-03-27","1990-09-01","female","Smoker",330000
372,372,"Ellen Arnely       ","1981-07-02","2013-05-01","female","Smoker",135000
373,373,"Rosaleen Burgot    ","1984-04-06","2015-07-01","male","Smoker",410000
374,374,"Rosalinde Mertel   ","1975-09-13","2014-10-01","female","Non-Smoker",435000
375,375,"Josephine Gamon    ","1968-11-14","1998-11-01","male","Smoker",350000
376,376,"Anthony Saffe      ","1977-10-20","1995-09-01","male","Non-Smoker",425000
377,377,"Nigel Pirkis       ","1951-11-01","1989-06-01","male","Smoker",140000
378,378,"Katalin Hamper     ","1995-09-09","2014-02-01","male","Smoker",130000
379,379,"Ashien Piercy      ","1999-01-03","2015-10-01","male","Non-Smoker",280000
380,380,"Frederico Feore    ","1966-07-19","1989-07-01","female","Non-Smoker",310000
381,381,"Theodosia Champion ","1989-04-01","2009-09-01","female","Non-Smoker",85000
382,382,"Timofei Wanklin    ","1998-09-10","2015-04-01","male","Smoker",460000
383,383,"Raquela Dwine      ","1976-09-10","2006-09-01","female","Smoker",230000
384,384,"Winslow Keuntje    ","1963-07-23","2016-02-01","female","Non-Smoker",210000
385,385,"Rip Sherar","1960-09-26","2013-02-01","female","Smoker",210000
386,386,"Bianca Gladden     ","1975-03-09","2005-11-01","female","Non-Smoker",470000
387,387,"Kim Kid   ","1978-10-04","2006-06-01","female","Non-Smoker",450000
388,388,"Jimmy Swanton      ","1978-09-04","1997-06-01","male","Smoker",70000
389,389,"Linn Andriss       ","1971-11-14","2003-05-01","male","Non-Smoker",60000
390,390,"Cullie Braxton     ","1983-10-11","2012-06-01","female","Non-Smoker",260000
391,391,"Rorke Darycott     ","1962-05-16","2002-09-01","female","Smoker",15000
392,392,"Dave Abba ","1961-12-16","1999-08-01","male","Non-Smoker",20000
393,393,"Lezlie Betonia     ","1960-03-01","2012-02-01","female","Non-Smoker",145000
394,394,"Caria Lambourn     ","1996-06-14","2013-10-01","male","Non-Smoker",180000
395,395,"Ariella Fensome    ","1977-10-11","1995-09-01","male","Smoker",455000
396,396,"Zared Thireau      ","1980-09-07","2008-08-01","male","Non-Smoker",485000
397,397,"Harris Pylkynyton  ","1984-07-02","2016-06-01","male","Smoker",35000
398,398,"Nappie Ricketts    ","1987-12-22","2008-06-01","male","Non-Smoker",35000
399,399,"Mada Hulett        ","1959-04-06","1999-06-01","male","Smoker",495000
400,400,"Dennet Zanelli     ","1976-10-15","2001-11-01","male","Smoker",495000
401,401,"Carlye Donaghie    ","1960-02-20","2006-02-01","male","Smoker",85000
402,402,"Griffin Molen      ","1969-12-10","1993-05-01","male","Smoker",335000
403,403,"Guglielmo Romagosa ","1958-03-06","1986-06-01","male","Smoker",460000
404,404,"Dulcie Tedman      ","1954-10-04","1975-07-01","female","Smoker",295000
405,405,"Jennee Plaxton     ","1955-07-26","1988-12-01","female","Smoker",425000
406,406,"Nichole Trouncer   ","1964-10-19","1985-10-01","female","Non-Smoker",335000
407,407,"Juliane Wilshin    ","1988-01-19","2006-08-01","female","Smoker",175000
408,408,"Willette Killock   ","1955-03-13","1977-07-01","male","Smoker",490000
409,409,"Giulio Whitbread   ","1996-09-18","2014-09-01","female","Smoker",170000
410,410,"Jacky Maeer        ","1955-04-16","1982-03-01","female","Smoker",45000
411,411,"Fianna Ure","1987-02-28","2004-07-01","male","Non-Smoker",500000
412,412,"Devlen Pandya      ","1998-09-05","2014-06-01","female","Smoker",300000
413,413,"Benyamin McTeague  ","1953-06-15","1997-08-01","female","Smoker",10000
414,414,"Rustin McKernan    ","1980-08-13","2000-12-01","female","Smoker",220000
415,415,"Deerdre Ablett     ","1965-11-15","2001-04-01","female","Smoker",455000
416,416,"Donica Chad        ","1992-07-27","2009-10-01","male","Smoker",75000
417,417,"Far Checo ","1969-03-04","2006-08-01","female","Non-Smoker",215000
418,418,"Ave Hammerman      ","1992-02-20","2016-06-01","male","Non-Smoker",335000
419,419,"Rosaleen Durant    ","1981-06-08","2004-09-01","male","Smoker",225000
420,420,"Irvine Cardenoso   ","1987-05-14","2007-04-01","female","Non-Smoker",80000
421,421,"Hagan Boothe       ","1980-02-17","2007-05-01","male","Non-Smoker",155000
422,422,"Gilburt Streeting  ","1953-02-02","2014-02-01","male","Smoker",495000
423,423,"Gunar Dominici     ","1967-02-07","1995-06-01","female","Smoker",275000
424,424,"Sheri Dalling      ","1992-02-11","2009-08-01","female","Non-Smoker",255000
425,425,"Honey Cardew       ","1965-03-19","1990-08-01","female","Smoker",155000
426,426,"Booth Scanderet    ","1997-07-24","2014-03-01","male","Smoker",85000
427,427,"Terra Bluck        ","1992-10-27","2012-04-01","female","Non-Smoker",115000
428,428,"Dawn Bulle","1984-03-16","2007-04-01","female","Non-Smoker",285000
429,429,"Aleksandr Peracco  ","1973-11-26","2010-06-01","male","Non-Smoker",255000
430,430,"Jacquetta OLynn   ","1984-10-18","2015-06-01","male","Non-Smoker",65000
431,431,"Heinrik De Michele ","1995-04-13","2016-11-01","male","Non-Smoker",215000
432,432,"Kennith Rabjohn    ","1995-05-06","2011-07-01","male","Smoker",365000
433,433,"Lazarus Roadknight ","1993-03-18","2013-02-01","male","Smoker",415000
434,434,"Isobel Neill       ","1993-12-04","2014-10-01","female","Smoker",100000
435,435,"Valentine Ilewicz  ","1983-03-14","2008-10-01","male","Smoker",485000
436,436,"Genny Abrahamowitcz","1991-07-24","2014-12-01","female","Smoker",70000
437,437,"Jennee Upcott      ","1958-07-04","2006-05-01","male","Smoker",245000
438,438,"Dori Easseby       ","1994-03-21","2012-05-01","female","Smoker",210000
439,439,"Clarette Bohl      ","1977-10-23","2015-07-01","male","Smoker",445000
440,440,"Benni Pouton       ","1966-07-02","1987-01-01","female","Non-Smoker",420000
441,441,"Tate Skehens       ","1969-10-21","2008-10-01","female","Non-Smoker",290000
442,442,"Misti Marrison     ","1967-04-12","2016-11-01","female","Smoker",450000
443,443,"Joye Delacroix     ","1988-05-14","2013-06-01","male","Non-Smoker",85000
444,444,"Maegan Dowsing     ","2000-04-05","2016-08-01","male","Smoker",470000
445,445,"Debera Cleverley   ","1972-02-25","2002-03-01","male","Non-Smoker",110000
446,446,"Eziechiele Slowley ","1972-09-13","1992-10-01","female","Non-Smoker",360000
447,447,"Lucilia Brassill   ","1954-01-25","1989-06-01","female","Smoker",255000
448,448,"Denny Alliband     ","1967-08-28","2014-03-01","male","Non-Smoker",110000
449,449,"Manya Jackett      ","1990-05-09","2008-09-01","female","Smoker",190000
450,450,"Cairistiona Dosedale    ","1964-11-15","1995-12-01","male","Non-Smoker",420000
451,451,"Carolin Taborre    ","1950-08-18","2009-03-01","female","Smoker",360000
452,452,"Jenni Balam        ","1959-09-03","1997-06-01","female","Smoker",290000
453,453,"Traci Shard        ","1985-02-04","2011-09-01","female","Non-Smoker",255000
454,454,"Janeczka Arkcoll   ","1985-11-17","2006-09-01","female","Smoker",320000
455,455,"Briant Wroath      ","1954-03-07","1988-09-01","female","Smoker",495000
456,456,"Nicholle Stannion  ","1959-12-24","2008-03-01","female","Non-Smoker",425000
457,457,"Jessamyn McPartling","1967-05-10","2014-08-01","female","Non-Smoker",45000
458,458,"Daveta Cudiff      ","1993-06-05","2012-03-01","male","Smoker",455000
459,459,"Joe Hasslocher     ","1957-02-08","1997-09-01","male","Non-Smoker",85000
460,460,"Obed Pretsell      ","1966-10-20","1998-10-01","male","Non-Smoker",480000
461,461,"Kenon McGoogan     ","1976-04-03","1995-10-01","male","Non-Smoker",315000
462,462,"Cobb Di Batista    ","1971-07-23","1999-07-01","male","Non-Smoker",160000
463,463,"Johan Tebbit       ","1958-09-17","1995-06-01","female","Smoker",220000
464,464,"Jefferson Kleisel  ","1977-04-16","2013-05-01","female","Smoker",125000
465,465,"Marne Fonteyne     ","1978-03-01","1995-12-01","male","Smoker",220000
466,466,"Temp Frammingham   ","1959-07-15","1976-02-01","female","Non-Smoker",360000
467,467,"Milicent Coyle     ","1976-11-23","1996-06-01","female","Smoker",445000
468,468,"Gaby Trevaskis     ","1989-02-21","2014-05-01","male","Non-Smoker",320000
469,469,"Valida Erasmus     ","1966-09-11","1992-07-01","male","Non-Smoker",465000
470,470,"Kayne Mouncher     ","1997-03-16","2014-12-01","male","Non-Smoker",345000
471,471,"Noellyn Boagey     ","1997-04-18","2014-10-01","female","Smoker",450000
472,472,"Milt Engeham       ","1982-07-01","2008-05-01","female","Non-Smoker",180000
473,473,"Carney Klimes      ","1968-12-23","2012-09-01","male","Smoker",295000
474,474,"Dante Heamus       ","1978-05-15","2011-09-01","male","Non-Smoker",250000
475,475,"Eric Rapley        ","1979-03-14","2015-07-01","male","Non-Smoker",145000
476,476,"Kenn Friskey       ","1977-07-21","2013-12-01","male","Non-Smoker",320000
477,477,"Frazier MacCathay  ","1996-06-10","2015-06-01","male","Smoker",310000
478,478,"Riva Ledwith       ","1956-09-19","2003-08-01","male","Non-Smoker",280000
479,479,"Pamella Rennie     ","1970-03-23","2002-04-01","female","Smoker",10000
480,480,"Shem Ardron        ","1966-12-04","2006-04-01","male","Non-Smoker",240000
481,481,"Gino Ferreira      ","1967-02-14","2005-06-01","male","Non-Smoker",145000
482,482,"Blane Harbertson   ","1957-02-10","2012-05-01","male","Non-Smoker",405000
483,483,"Rayna Jouaneton    ","1952-07-15","2006-09-01","female","Non-Smoker",235000
484,484,"Brandy Daveridge   ","1966-05-21","2016-07-01","female","Non-Smoker",315000
485,485,"Feliza Pawels      ","1960-09-02","1995-03-01","male","Smoker",145000
486,486,"Vonny Newgrosh     ","1995-03-04","2012-01-01","female","Non-Smoker",185000
487,487,"Tonia Dinnington   ","1963-02-27","2012-02-01","female","Smoker",175000
488,488,"Maddie Skurm       ","1992-10-16","2013-02-01","female","Smoker",385000
489,489,"Flor MacCawley     ","1979-09-09","2006-06-01","male","Smoker",475000
490,490,"Suzie Meuse        ","1981-02-21","1997-11-01","female","Non-Smoker",380000
491,491,"Bartel Vousden     ","1953-10-22","1999-08-01","female","Smoker",420000
492,492,"Micheil Shelly     ","1989-04-12","2013-05-01","female","Non-Smoker",420000
493,493,"Alisa Rens","1973-01-03","1996-08-01","male","Smoker",145000
494,494,"Laughton Fleote    ","1981-08-27","2009-11-01","male","Non-Smoker",260000
495,495,"Fitzgerald Antonovic    ","1982-05-24","2006-04-01","male","Smoker",480000
496,496,"Bonni Bowton       ","1985-07-20","2012-08-01","female","Smoker",315000
497,497,"Mitchael Fearney   ","1980-02-28","2008-06-01","female","Smoker",10000
498,498,"Tadeo Wooster      ","1961-11-08","2009-10-01","male","Non-Smoker",500000
499,499,"Isobel Rotter      ","1953-01-01","1973-07-01","male","Smoker",25000
500,500,"Cullan Sewter      ","1986-02-22","2007-06-01","female","Non-Smoker",285000
501,501,"Joellyn Akam       ","1977-03-18","2000-10-01","female","Non-Smoker",325000
502,502,"Cathrine Mattis    ","1966-09-15","2003-09-01","male","Smoker",385000
503,503,"Kelli Beves        ","1996-06-16","2016-03-01","male","Smoker",490000
504,504,"Christa Saylor     ","1993-09-15","2015-09-01","female","Smoker",465000
505,505,"Ivy Ege   ","1963-10-06","1989-12-01","female","Smoker",140000
506,506,"Kenton McQuillin   ","1971-08-19","2006-06-01","male","Smoker",445000
507,507,"Patsy Trott        ","1963-03-04","2010-06-01","male","Smoker",275000
508,508,"Auguste Talks      ","1972-08-16","2015-02-01","female","Non-Smoker",425000
509,509,"Elliot Norewood    ","1996-11-21","2015-02-01","male","Non-Smoker",475000
510,510,"Bevon Kimmons      ","1966-06-21","1999-06-01","female","Smoker",305000
511,511,"Lisetta Rumin      ","1957-05-04","1998-04-01","female","Non-Smoker",380000
512,512,"Joya Jurgen        ","1965-05-06","1985-05-01","female","Smoker",200000
513,513,"Maggie Mutter      ","1970-02-16","2011-08-01","male","Smoker",310000
514,514,"Mil Szimon","1970-12-24","1988-09-01","female","Non-Smoker",60000
515,515,"Crissie Valiant    ","1968-07-10","2009-04-01","male","Smoker",500000
516,516,"Henriette Shulem   ","1993-06-20","2010-07-01","female","Smoker",265000
517,517,"Jena Perview       ","1979-07-12","2005-05-01","female","Smoker",325000
518,518,"Jasmine Japp       ","1970-02-23","2010-07-01","female","Smoker",320000
519,519,"Melisandra Gavrielli    ","1969-08-03","2015-01-01","female","Smoker",185000
520,520,"Neall Thomsson     ","1991-07-15","2009-10-01","male","Smoker",55000
521,521,"Elfreda Jarrold    ","1953-01-15","1978-04-01","male","Smoker",225000
522,522,"Saundra Midlane    ","1965-03-05","2009-07-01","female","Smoker",95000
523,523,"Holly Coalburn     ","1980-10-06","2013-03-01","female","Smoker",190000
524,524,"Gerry Gontier      ","1975-06-25","1998-09-01","male","Non-Smoker",305000
525,525,"Jacquetta Triplow  ","1973-06-04","2005-11-01","female","Non-Smoker",360000
526,526,"Micaela Ickeringill","1980-06-19","2006-02-01","female","Non-Smoker",275000
527,527,"Carolin Bearns     ","1994-06-18","2013-07-01","female","Non-Smoker",500000
528,528,"Selma Purslow      ","1954-02-14","1972-11-01","male","Non-Smoker",65000
529,529,"Cherice Stodit     ","1972-04-26","2015-10-01","female","Non-Smoker",95000
530,530,"Abelard Lello      ","1972-09-13","1994-10-01","female","Non-Smoker",215000
531,531,"Goran Levesley     ","1997-03-15","2013-07-01","female","Non-Smoker",425000
532,532,"Stephana Rozycki   ","1962-03-04","2015-11-01","male","Smoker",420000
533,533,"Wilma Gimbrett     ","1976-05-22","1995-05-01","male","Non-Smoker",455000
534,534,"Lou Chotty","1959-09-26","1984-11-01","female","Smoker",145000
535,535,"Hamid Gaylord      ","1980-05-16","2001-10-01","female","Non-Smoker",230000
536,536,"Cathy Mathewson    ","1987-07-22","2009-03-01","female","Smoker",150000
537,537,"Malorie Nadin      ","1991-02-16","2014-04-01","male","Non-Smoker",110000
538,538,"Matthieu Cruz      ","1959-08-17","2011-11-01","female","Smoker",360000
539,539,"Cameron Dreamer    ","1968-06-06","1996-03-01","female","Non-Smoker",80000
540,540,"Joseito Insley     ","1998-04-20","2015-12-01","female","Smoker",300000
541,541,"Cathy Sapshed      ","1991-11-26","2009-07-01","female","Non-Smoker",480000
542,542,"Charo Boswood      ","2000-03-28","2016-03-01","female","Non-Smoker",445000
543,543,"Becki Dionsetti    ","1972-12-11","2007-07-01","female","Smoker",215000
544,544,"Shandee Nester     ","1960-03-05","2010-10-01","male","Non-Smoker",75000
545,545,"Sadye Arnholtz     ","1975-12-19","1992-09-01","male","Non-Smoker",45000
546,546,"Diane Dibner       ","1996-12-03","2016-02-01","male","Smoker",415000
547,547,"Mei McClifferty    ","1963-10-04","2016-02-01","female","Non-Smoker",120000
548,548,"Rois Rushsorth     ","1955-03-27","2001-05-01","female","Smoker",80000
549,549,"Annissa Firks      ","1984-01-09","2011-03-01","female","Non-Smoker",360000
550,550,"Constantine Kenton ","1976-04-23","2007-10-01","male","Non-Smoker",35000
551,551,"Ailsun Salvatore   ","1989-03-14","2007-10-01","female","Smoker",330000
552,552,"Sarah Gostridge    ","1954-04-10","1971-05-01","female","Non-Smoker",440000
553,553,"Giustino Pritty    ","1960-05-16","1996-04-01","male","Smoker",165000
554,554,"Stavro Sydes       ","1969-06-13","2011-03-01","female","Non-Smoker",15000
555,555,"Cameron Hoogendorp ","1981-04-09","2008-12-01","female","Non-Smoker",15000
556,556,"Reinaldos Moneypenny    ","1981-05-18","2000-12-01","female","Non-Smoker",50000
557,557,"Morena Huntingford ","1989-07-26","2015-09-01","female","Smoker",25000
558,558,"Nikaniki Videan    ","1993-02-08","2012-10-01","male","Smoker",40000
559,559,"Ozzy Kingham       ","1966-10-25","1993-03-01","male","Smoker",500000
560,560,"Robby Semper       ","1982-09-12","2009-11-01","male","Non-Smoker",465000
561,561,"Darya Leefe        ","1974-06-24","2011-05-01","male","Smoker",115000
562,562,"Madeleine Redit    ","1970-07-04","2003-08-01","male","Smoker",130000
563,563,"Amory Varley       ","1994-03-15","2014-03-01","female","Non-Smoker",85000
564,564,"Noe Purches        ","1968-07-02","1984-07-01","male","Non-Smoker",330000
565,565,"Edy Gomez ","1996-11-13","2016-06-01","female","Smoker",470000
566,566,"Cathlene Asey      ","1967-04-20","2011-11-01","male","Non-Smoker",215000
567,567,"Ebony Caunter      ","1992-11-21","2011-05-01","female","Smoker",80000
568,568,"Marquita Cometto   ","1979-06-17","2014-08-01","male","Smoker",360000
569,569,"Cly Charle","1955-06-10","1976-10-01","male","Smoker",40000
570,570,"Wrennie Saunier    ","1993-08-08","2014-06-01","female","Smoker",180000
571,571,"Evelina Aubrey     ","1969-08-01","2006-01-01","male","Non-Smoker",215000
572,572,"Graham Von Gladbach","1989-07-13","2011-05-01","male","Non-Smoker",395000
573,573,"Linnet Kopfer      ","1968-06-01","1989-12-01","female","Non-Smoker",315000
574,574,"Sophie Galler      ","1988-10-24","2016-08-01","female","Non-Smoker",75000
575,575,"Alleyn Molloy      ","1991-06-02","2009-12-01","male","Smoker",15000
576,576,"Stephi Innocent    ","1975-05-08","1992-09-01","male","Smoker",280000
577,577,"Whitney Divina     ","1959-05-24","1998-10-01","female","Smoker",265000
578,578,"Mohandis Lyndon    ","1972-04-24","2015-02-01","female","Non-Smoker",205000
579,579,"Melony Maiden      ","1953-09-06","1991-07-01","male","Non-Smoker",130000
580,580,"Gerald Birrell     ","1966-07-18","1994-08-01","female","Smoker",145000
581,581,"Ruperto Sackler    ","1959-03-05","1993-08-01","female","Non-Smoker",145000
582,582,"Torin MacCathay    ","1973-02-08","1995-12-01","female","Non-Smoker",320000
583,583,"Madelena Critchlow ","1983-07-27","2010-05-01","female","Smoker",290000
584,584,"Tommie Geydon      ","1987-02-14","2009-04-01","male","Smoker",405000
585,585,"Dedra Hawkeridge   ","1959-06-26","2004-05-01","male","Smoker",185000
586,586,"Diana Jewers       ","1978-04-15","2009-06-01","male","Non-Smoker",65000
587,587,"Robyn Gaytor       ","1997-06-12","2014-04-01","female","Non-Smoker",460000
588,588,"Dalia Lehenmann    ","1990-06-09","2011-02-01","female","Smoker",485000
589,589,"Gray Slarke        ","1970-10-16","2005-05-01","female","Smoker",180000
590,590,"Barnaby Worster    ","1973-05-04","1997-01-01","male","Smoker",500000
591,591,"Gratia Arnauduc    ","1979-09-19","2010-10-01","male","Non-Smoker",450000
592,592,"Lyman Labrum       ","1988-04-14","2010-04-01","male","Smoker",335000
593,593,"Nye Simenot        ","1989-02-10","2007-10-01","female","Smoker",435000
594,594,"Adelaide Bretton   ","1961-08-16","2003-08-01","female","Smoker",370000
595,595,"Adrea Exton        ","1958-01-06","2012-08-01","male","Smoker",185000
596,596,"Jennette Verlinden ","1951-01-17","1976-03-01","female","Non-Smoker",340000
597,597,"Martelle Kopps     ","1963-04-13","1997-09-01","male","Non-Smoker",280000
598,598,"Abbey Haensel      ","1967-06-08","1984-05-01","male","Smoker",290000
599,599,"Ursala Omand       ","1981-07-05","2005-06-01","male","Smoker",305000
600,600,"Lana Kinnerk       ","1951-08-16","1991-07-01","female","Smoker",105000
601,601,"Nikola Saltman     ","1980-12-25","2008-06-01","female","Non-Smoker",220000
602,602,"Dionne Lafaye      ","1958-01-22","2007-06-01","female","Non-Smoker",195000
603,603,"Axel Pavek","1997-10-21","2014-09-01","female","Non-Smoker",250000
604,604,"Fitz Courcey       ","1997-05-09","2014-11-01","male","Smoker",340000
605,605,"Caryl Christofides ","1979-04-26","2000-02-01","female","Non-Smoker",305000
606,606,"Philipa Yanele     ","1976-10-04","1994-05-01","male","Smoker",80000
607,607,"Morganica Duesberry","1997-10-25","2014-03-01","female","Smoker",365000
608,608,"Tye Flaxman        ","1964-05-04","1984-07-01","male","Non-Smoker",30000
609,609,"Bradly Yu ","1957-06-04","1995-08-01","male","Smoker",300000
610,610,"Didi Caccavale     ","1991-07-11","2009-05-01","female","Non-Smoker",125000
611,611,"Lynda Diano        ","1989-05-16","2007-04-01","male","Smoker",455000
612,612,"Wakefield Norwood  ","1992-06-20","2012-09-01","female","Non-Smoker",290000
613,613,"Dorian Tobin       ","1955-01-03","2002-09-01","female","Non-Smoker",60000
614,614,"Percival Killingworth   ","1954-10-02","1978-02-01","male","Smoker",455000
615,615,"Egon Tille","1958-04-28","2001-08-01","male","Smoker",310000
616,616,"Dana Doorbar       ","1955-01-11","1990-06-01","male","Smoker",65000
617,617,"Smitty Bemment     ","1972-06-03","1994-07-01","male","Non-Smoker",90000
618,618,"Winona Popov       ","1971-09-09","2015-06-01","female","Smoker",65000
619,619,"Munmro Seamen      ","1950-09-13","2005-09-01","female","Non-Smoker",305000
620,620,"Reina Methringham  ","1995-02-17","2014-10-01","female","Smoker",110000
621,621,"Pennie Toner       ","1958-10-11","2001-07-01","male","Smoker",80000
622,622,"Kali Vasilchikov   ","1990-01-05","2015-07-01","female","Non-Smoker",455000
623,623,"Farris Beech       ","1981-11-02","2005-08-01","female","Non-Smoker",390000
624,624,"Fern Pittendreigh  ","1995-05-01","2016-08-01","male","Non-Smoker",75000
625,625,"Chad Manes","1986-05-19","2009-12-01","male","Smoker",355000
626,626,"Stavros Haker      ","1992-07-16","2013-03-01","female","Non-Smoker",280000
627,627,"Seymour Aloshechkin","1964-10-23","1988-12-01","female","Smoker",165000
628,628,"Hammad Roch        ","1976-04-10","2008-05-01","female","Smoker",245000
629,629,"Win Atthow","1992-08-01","2012-05-01","male","Smoker",455000
630,630,"Cami Fendt","1959-07-27","2009-03-01","male","Smoker",175000
631,631,"Alyss Rowthorne    ","1997-06-03","2016-07-01","male","Smoker",110000
632,632,"Adriena Malt       ","1984-11-18","2011-04-01","female","Non-Smoker",240000
633,633,"Frederik Gilchriest","1984-11-16","2015-03-01","female","Smoker",275000
634,634,"Laurent Giannini   ","1993-04-21","2012-12-01","male","Smoker",225000
635,635,"Husain Bewshaw     ","1971-10-23","2015-11-01","female","Non-Smoker",415000
636,636,"Flem Katt ","1950-12-22","1990-07-01","male","Smoker",190000
637,637,"Xymenes Skillman   ","1960-07-07","1990-09-01","female","Non-Smoker",250000
638,638,"Ermina Leadstone   ","1971-05-10","1992-09-01","female","Non-Smoker",110000
639,639,"Emilio Folke       ","1984-11-12","2000-04-01","female","Non-Smoker",490000
640,640,"Oran Jagielski     ","1968-11-17","2011-04-01","female","Non-Smoker",195000
641,641,"Gav Facer ","1976-04-04","2001-06-01","female","Non-Smoker",165000
642,642,"Ariela Matteacci   ","1987-05-04","2004-06-01","female","Smoker",495000
643,643,"Elianora Rymer     ","1985-06-21","2011-11-01","female","Smoker",30000
644,644,"Vivyan Gruszka     ","1990-09-11","2014-11-01","female","Non-Smoker",55000
645,645,"Stormi Danzelman   ","1964-04-27","1996-04-01","male","Non-Smoker",370000
646,646,"Adams Boriston     ","1991-10-07","2012-05-01","male","Non-Smoker",115000
647,647,"Reinaldo Bilbee    ","1970-11-02","2008-09-01","male","Non-Smoker",325000
648,648,"Sylvia Giovannilli ","1972-01-12","2006-12-01","male","Non-Smoker",295000
649,649,"Lyndy Yirrell      ","1979-11-25","2011-07-01","male","Non-Smoker",230000
650,650,"Arnoldo Antonsen   ","1973-07-19","2011-04-01","female","Smoker",375000
651,651,"Trix Mac  ","1995-05-24","2016-10-01","female","Smoker",340000
652,652,"Joleen Cathro      ","1987-02-26","2005-04-01","male","Non-Smoker",485000
653,653,"Dosi Petranek      ","1985-02-16","2009-10-01","female","Smoker",245000
654,654,"Carolyne Spenton   ","1953-07-25","2000-11-01","female","Non-Smoker",20000
655,655,"Wyndham Bilt       ","1990-05-15","2007-08-01","male","Non-Smoker",480000
656,656,"Ciro Blackaby      ","1991-09-18","2014-03-01","male","Smoker",175000
657,657,"Trish Andrejevic   ","1956-04-25","1985-11-01","male","Non-Smoker",320000
658,658,"Dee dee Tallow     ","1993-09-17","2015-01-01","male","Smoker",255000
659,659,"Jeth Tidball       ","1971-03-05","1991-10-01","male","Smoker",475000
660,660,"Lanae Eschalette   ","1990-05-12","2014-02-01","female","Smoker",485000
661,661,"Gerladina Scandred ","1953-11-13","1994-06-01","female","Smoker",280000
662,662,"Ardath Rubinivitz  ","1999-08-28","2015-08-01","female","Non-Smoker",50000
663,663,"Alex Perone        ","1991-07-13","2016-05-01","male","Smoker",410000
664,664,"Elna Schubart      ","1987-05-21","2006-11-01","female","Non-Smoker",145000
665,665,"Filippa Rusted     ","1978-09-18","1996-11-01","male","Non-Smoker",305000
666,666,"Alister Ellingsworth    ","1986-12-24","2003-07-01","female","Smoker",125000
667,667,"Glynda Belson      ","1952-01-16","1972-07-01","female","Smoker",175000
668,668,"Vitoria McMullen   ","1952-02-23","2008-02-01","male","Non-Smoker",370000
669,669,"Lockwood Raw       ","1975-08-07","2015-09-01","male","Smoker",105000
670,670,"Gavan Caulwell     ","1989-11-03","2012-05-01","male","Smoker",380000
